config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr
UFRPLS-100veh-a09,UFRPLS,100,slow,0.9,e900,6.6383381688369,0.3882385942807,5.8317036093235,7.6795857630387,22.0,10.895294576352,3.1071457890582,0.23172293607155,16.649825724346,4456.0,0.0006623723345,4456,1.0,1,1000.0,22.0,0.022
UFRPLS-20veh-a01,UFRPLS,20,slow,0.1,e100,1.3131757122305,0.87423584197393,0.15638467298547,2.6161184171985,52.0,2.3632687384793,0.66935494880056,0.016909619949423,5.27257304022,6796.0,0.0013065866310962,6796,1.0,1,1000.0,52.0,0.052
UFRPLS-20veh-a01,UFRPLS,20,slow,0.1,e300,1.223540157787,0.87117016002472,0.036878906962443,2.6407275979606,59.0,2.4012835375929,0.65332718928163,0.020656840196757,5.9069649786614,6634.0,0.0011539697778136,6634,1.0,1,1000.0,59.0,0.059
UFRPLS-20veh-a01,UFRPLS,20,slow,0.1,e500,1.211515008407,0.7932061258156,0.16261364072701,2.6900655423845,46.0,2.383761746041,0.67259851309806,0.0083927753849089,5.685890081209,6904.0,0.001083325581087,6904,1.0,1,1000.0,46.0,0.046
UFRPLS-20veh-a01,UFRPLS,20,slow,0.1,e700,1.1957130868076,0.8784629538344,0.1572100033461,3.0076289922514,57.0,2.3940764952695,0.65892790668041,0.050063008964344,5.2697334869717,6772.0,0.00094845895503509,6772,1.0,1,1000.0,57.0,0.057
UFRPLS-20veh-a01,UFRPLS,20,slow,0.1,e900,1.0883504807096,0.83834134866213,0.054114526143863,2.7839867429005,56.0,2.407090208698,0.63177258444627,0.0081727153343323,5.6911943972711,6830.0,0.0011694545703571,6830,1.0,1,1000.0,56.0,0.056
UFRPLS-20veh-a03,UFRPLS,20,slow,0.3,e100,1.4434893259054,0.63255221729249,0.054379548825416,2.8168733307588,84.0,2.2471464358603,0.67743895123597,0.020656840196757,5.2710174817859,3831.0,0.00099693583760714,3831,1.0,1,1000.0,84.0,0.084
UFRPLS-20veh-a03,UFRPLS,20,slow,0.3,e300,1.363582172091,0.55055877897638,0.039823960858541,2.8256829861063,90.0,2.2179173795514,0.74156251596582,0.026893286607191,5.2363120238256,3621.0,0.0010501255116556,3621,1.0,1,1000.0,90.0,0.09
UFRPLS-20veh-a03,UFRPLS,20,slow,0.3,e500,1.4116181770125,0.60857470646809,0.32567005373065,2.701020178818,89.0,2.278616366009,0.66399052995947,0.025087981204834,5.4909521235488,3701.0,0.0010735893536742,3701,1.0,1,1000.0,89.0,0.089
UFRPLS-20veh-a03,UFRPLS,20,slow,0.3,e700,1.2241503905273,0.62155353865497,0.025920411647121,2.588439421406,82.0,2.2694861827205,0.67271886729918,0.16917864892796,5.4239754019975,3675.0,0.0011640261332073,3675,1.0,1,1000.0,82.0,0.082
UFRPLS-20veh-a03,UFRPLS,20,slow,0.3,e900,1.3975399865855,0.58437542236158,0.032235529186259,2.6871950547718,72.0,2.2227058815674,0.69620855054005,0.090907665940932,5.36641341154,3598.0,0.0012081468576806,3598,1.0,1,1000.0,72.0,0.072
UFRPLS-20veh-a03-fast,UFRPLS,20,fast,0.3,e100,1.1884937561925,0.67084876098017,0.060891111985626,3.0112910846429,49.0,1.8983602421062,1.2228224886824,0.013500538265461,7.4923471770215,3993.0,0.001187603708898,3993,1.0,1,1000.0,49.0,0.049
UFRPLS-20veh-a03-fast,UFRPLS,20,fast,0.3,e300,1.2108453336125,0.42930581000242,0.056280912956673,2.3309078328816,99.0,1.6955837094969,0.97045032754234,0.23505496665436,5.8568704283036,3682.0,0.00089679832314141,3682,1.0,1,1000.0,99.0,0.099
